Source Country,Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Cameroon,Cameroon,Ndelele,East,,Kadey,26127,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Ndélélé,,,,,region,1,CM-ES,Est,HIGH,1.0,CM-ES
Cameroon,Cameroon,Mbang,East,,Kadey,25603,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Mbang,,,,,region,1,CM-ES,Est,HIGH,1.0,CM-ES
Cameroon,Cameroon,Nguelemendouka,East,,Haut-Nyong,21097,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Nguelemendouka,,,,,region,1,CM-ES,Est,HIGH,1.0,CM-ES
Cameroon,Cameroon,Lomié,East,,Haut-Nyong,18952,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Lomié,,,,,region,1,CM-ES,Est,HIGH,1.0,CM-ES
Cameroon,Cameroon,Doumé,East,,Haut-Nyong,18429,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Doumé,,,,,region,1,CM-ES,Est,HIGH,1.0,CM-ES
Cameroon,Cameroon,Moloundou,East,,Boumba-et-Ngoko,18174,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Mouloundou,,,,,region,1,CM-ES,Est,MED,0.947,CM-ES
Cameroon,Cameroon,Salapoumbé,East,,Boumba-et-Ngoko,17240,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Salapoumbé,,,,,region,1,CM-ES,Est,HIGH,1.0,CM-ES
Cameroon,Cameroon,Mandjou,East,,Lom-et-Djérem,17097,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Mandjou,,,,,region,1,CM-ES,Est,HIGH,1.0,CM-ES
Cameroon,Cameroon,Bombé,East,,Kadey,16147,Arrondissement,,,#N/A,2005,EastCameroon,,,,,,,,,,,,,region,1,CM-ES,Est,NONE,0.0,CM-ES
Cameroon,Cameroon,Gari-Gombo,East,,Boumba-et-Ngoko,15978,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Gari-Gombo,,,,,region,1,CM-ES,Est,HIGH,1.0,CM-ES
Cameroon,Cameroon,Diang,East,,Lom-et-Djérem,15795,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Diang,,,,,region,1,CM-ES,Est,HIGH,1.0,CM-ES
Cameroon,Cameroon,Mboanz,East,,Haut-Nyong,13608,Arrondissement,,,#N/A,2005,EastCameroon,,,,,,,,,,,,,region,1,CM-ES,Est,NONE,0.0,CM-ES
Cameroon,Cameroon,Dimako,East,,Haut-Nyong,12894,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Dimako,,,,,region,1,CM-ES,Est,HIGH,1.0,CM-ES
Cameroon,Cameroon,Messok,East,,Haut-Nyong,11213,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Messock,,,,,region,1,CM-ES,Est,MED,0.923,CM-ES
Cameroon,Cameroon,Dja,East,,Haut-Nyong,10431,Arrondissement,,,#N/A,2005,EastCameroon,,,,,,,,,,,,,region,1,CM-ES,Est,NONE,0.0,CM-ES
Cameroon,Cameroon,Ndem-Nam,East,,Kadey,10411,Arrondissement,,,#N/A,2005,EastCameroon,,,,,,,,,,,,,region,1,CM-ES,Est,NONE,0.0,CM-ES
Cameroon,Cameroon,Bebend,East,,Haut-Nyong,9335,Arrondissement,,,#N/A,2005,EastCameroon,,,,,,,,,,,,,region,1,CM-ES,Est,NONE,0.0,CM-ES
Cameroon,Cameroon,Mboma,East,,Haut-Nyong,8120,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Mboma,,,,,region,1,CM-ES,Est,HIGH,1.0,CM-ES
Cameroon,Cameroon,Doumaintang,East,,Haut-Nyong,7956,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Doumaintang,,,,,region,1,CM-ES,Est,HIGH,1.0,CM-ES
Cameroon,Cameroon,Mbotoro,East,,Kadey,7674,Arrondissement,,,#N/A,2005,EastCameroon,,,,,,,,,,,,,region,1,CM-ES,Est,NONE,0.0,CM-ES
Cameroon,Cameroon,Somalomo,East,,Haut-Nyong,4902,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Somalomo,,,,,region,1,CM-ES,Est,HIGH,1.0,CM-ES
Cameroon,Cameroon,Ngoyla,East,,Haut-Nyong,4424,Arrondissement,,,#N/A,2005,EastCameroon,,,,,locality,,CM-ES,Ngoyla,,,,,region,1,CM-ES,Est,HIGH,1.0,CM-ES
Cameroon,Cameroon,Maroua I,Far North,,Diamaré,134934,City Arrondissement,Maroua,,Maroua,2005,Far NorthCameroon,,,,,locality,,CM-EN,Maroua I,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Maroua II,Far North,,Diamaré,108902,City Arrondissement,Maroua,,Maroua,2005,Far NorthCameroon,,,,,locality,,CM-EN,Maroua II,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Maroua III,Far North,,Diamaré,86574,City Arrondissement,Maroua,,Maroua,2005,Far NorthCameroon,,,,,locality,,CM-EN,Maroua III,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Mokolo,Far North,,Mayo-Tsanaga,242274,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Mokolo,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Mora,Far North,,Mayo-Sava,179777,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Mora,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Mogode,Far North,,Mayo-Tsanaga,112905,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Mogodé,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Kaélé,Far North,,Mayo-Kani,105504,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Kaélé,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Makary,Far North,,Logone-et-Chari,104843,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Makary,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Kousséri,Far North,,Logone-et-Chari,101246,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Kousséri,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Bogo,Far North,,Diamaré,95230,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Bogo,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Yagoua,Far North,,Mayo-Danay,91979,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Yagoua,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Tokombéré,Far North,,Mayo-Sava,91256,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Tokombéré,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Bourrha,Far North,,Mayo-Tsanaga,88585,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Bourha,,,,,region,1,CM-EN,Extrême-Nord,MED,0.923,CM-EN
Cameroon,Cameroon,Meri,Far North,,Diamaré,86834,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Meri,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Maga,Far North,,Mayo-Danay,85100,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Maga,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Moulvoudaye,Far North,,Mayo-Kani,82368,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Moulvoudaye,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Koza,Far North,,Mayo-Tsanaga,81076,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Koza,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Kolofata,Far North,,Mayo-Sava,77857,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Kolofata,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Mayo-Moskota,Far North,,Mayo-Tsanaga,73716,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,,,,,,,,,region,1,CM-EN,Extrême-Nord,NONE,0.0,CM-EN
Cameroon,Cameroon,Goulfey,Far North,,Logone-et-Chari,58117,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Goulfey قولفي,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Soulédé-Roua,Far North,,Mayo-Tsanaga,57660,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Soulèdé-Roua,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Kaï-Kaï,Far North,,Mayo-Danay,55366,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Kai-Kai,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Gobo,Far North,,Mayo-Danay,53119,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Gobo,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Logone-Birni,Far North,,Logone-et-Chari,52589,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Logone-Birni,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Mindif,Far North,,Mayo-Kani,50530,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Mindif,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Blangoua,Far North,,Logone-et-Chari,50398,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Blangoua,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Hina,Far North,,Mayo-Tsanaga,43755,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Hina,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Guidiguis,Far North,,Mayo-Kani,43632,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Guidiguis,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Taibong,Far North,,Mayo-Kani,43606,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,,,,,,,,,region,1,CM-EN,Extrême-Nord,NONE,0.0,CM-EN
Cameroon,Cameroon,Kar-Hay,Far North,,Mayo-Danay,42963,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Kar-Hay,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Vele,Far North,,Mayo-Danay,41693,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,,,,,,,,,region,1,CM-EN,Extrême-Nord,NONE,0.0,CM-EN
Cameroon,Cameroon,Moutourwa,Far North,,Mayo-Kani,40197,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Moutourwa,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Porhi,Far North,,Mayo-Kani,38809,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,,,,,,,,,region,1,CM-EN,Extrême-Nord,NONE,0.0,CM-EN
Cameroon,Cameroon,Guéré,Far North,,Mayo-Danay,38328,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Guéré,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Petté,Far North,,Diamaré,37125,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Pétté,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Fotokol,Far North,,Logone-et-Chari,36893,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Fotokol,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Dargala,Far North,,Diamaré,33142,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Dargala,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Ndoukoula,Far North,,Diamaré,32091,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Ndoukoula,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Tchati-Bali,Far North,,Mayo-Danay,32063,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Tchatibali,,,,,region,1,CM-EN,Extrême-Nord,MED,0.952,CM-EN
Cameroon,Cameroon,Datcheka,Far North,,Mayo-Danay,31545,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Datchéka,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Wina,Far North,,Mayo-Danay,30702,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Wina,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Gazawa,Far North,,Diamaré,27395,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Gazawa,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Kalfou,Far North,,Mayo-Danay,26203,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Kalfou,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Zina,Far North,,Logone-et-Chari,25572,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Zina,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Darak,Far North,,Logone-et-Chari,23901,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Darak,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Hile-Alifa,Far North,,Logone-et-Chari,18425,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Hilé - Alifa,,,,,region,1,CM-EN,Extrême-Nord,LOW,0.909,CM-EN
Cameroon,Cameroon,Waza,Far North,,Logone-et-Chari,15013,Arrondissement,,,#N/A,2005,Far NorthCameroon,,,,,locality,,CM-EN,Waza,,,,,region,1,CM-EN,Extrême-Nord,HIGH,1.0,CM-EN
Cameroon,Cameroon,Douala III,Littoral,,Wouri,646347,City Arrondissement,Douala,,Douala,2005,LittoralCameroon,,,,,locality,,CM-LT,Douala III,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Douala V,Littoral,,Wouri,544919,City Arrondissement,Douala,,Douala,2005,LittoralCameroon,,,,,locality,,CM-LT,Douala V,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Douala II,Littoral,,Wouri,261407,City Arrondissement,Douala,,Douala,2005,LittoralCameroon,,,,,locality,,CM-LT,Douala II,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Douala IV,Littoral,,Wouri,250626,City Arrondissement,Douala,,Douala,2005,LittoralCameroon,,,,,locality,,CM-LT,Douala IV,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Douala I,Littoral,,Wouri,223214,City Arrondissement,Douala,,Douala,2005,LittoralCameroon,,,,,locality,,CM-LT,Douala I,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Douala VI,Littoral,,Wouri,5464,City Arrondissement,Douala,,Douala,2005,LittoralCameroon,,,,,locality,,CM-LT,Douala VI,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Édéa II,Littoral,,Sanaga-Maritime,13539,City Arrondissement,Édéa,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Édéa II,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Loum,Littoral,,Moungo,39707,Arrondissement,Loum,,Loum,2005,LittoralCameroon,,,,,locality,,CM-LT,Loum,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Melong,Littoral,,Moungo,54279,Arrondissement,Melong,,Melong,2005,LittoralCameroon,,,,,locality,,CM-LT,Mélong,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Nkongsamba I,Littoral,,Moungo,52434,City Arrondissement,Nkongsamba,,Nkongsamba,2005,LittoralCameroon,,,,,locality,,CM-LT,Nkongsamba I,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Nkongsamba II,Littoral,,Moungo,37154,City Arrondissement,Nkongsamba,,Nkongsamba,2005,LittoralCameroon,,,,,locality,,CM-LT,Nkongsamba II,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Nkongsamba III,Littoral,,Moungo,15795,City Arrondissement,Nkongsamba,,Nkongsamba,2005,LittoralCameroon,,,,,locality,,CM-LT,Nkongsamba III,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Édéa I,Littoral,,Sanaga-Maritime,64761,City Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Édéa I,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Mbanga,Littoral,,Moungo,35415,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Mbanga,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Manjo,Littoral,,Moungo,34230,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Manjo,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Njombe-Penja,Littoral,,Moungo,31792,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,,,,,,,,,region,1,CM-LT,Littoral,NONE,0.0,CM-LT
Cameroon,Cameroon,Abo Fiko,Littoral,,Moungo,25018,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,,,,,,,,,region,1,CM-LT,Littoral,NONE,0.0,CM-LT
Cameroon,Cameroon,Nkondjock,Littoral,,Nkam,17428,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Nkondjock,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Dibombari,Littoral,,Moungo,17141,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Dibombari,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Dizangué,Littoral,,Sanaga-Maritime,17086,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Dizangué,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Baré-Bakem,Littoral,,Moungo,16485,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,,,,,,,,,region,1,CM-LT,Littoral,NONE,0.0,CM-LT
Cameroon,Cameroon,Nlonako,Littoral,,Moungo,14261,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,,,,,,,,,region,1,CM-LT,Littoral,NONE,0.0,CM-LT
Cameroon,Cameroon,Pouma,Littoral,,Sanaga-Maritime,13475,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Pouma,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Yabassi,Littoral,,Nkam,12999,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Yabassi,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Nyanon,Littoral,,Sanaga-Maritime,12517,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Nyanon,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Ndom,Littoral,,Sanaga-Maritime,10340,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Ndom,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Mouanko,Littoral,,Sanaga-Maritime,9162,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Mouanko,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Ngambe,Littoral,,Sanaga-Maritime,6210,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Ngambé,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Mombo,Littoral,,Moungo,5530,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Mombo,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Dibamba,Littoral,,Sanaga-Maritime,5350,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Dibamba,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Massock-Songloulou,Littoral,,Sanaga-Maritime,5044,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,,,,,,,,,region,1,CM-LT,Littoral,NONE,0.0,CM-LT
Cameroon,Cameroon,Ngwei,Littoral,,Sanaga-Maritime,4831,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Ngwei,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Nord-Makombé,Littoral,,Nkam,3999,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,,,,,,,,,region,1,CM-LT,Littoral,NONE,0.0,CM-LT
Cameroon,Cameroon,Yingui,Littoral,,Nkam,2304,Arrondissement,,,#N/A,2005,LittoralCameroon,,,,,locality,,CM-LT,Yingui,,,,,region,1,CM-LT,Littoral,HIGH,1.0,CM-LT
Cameroon,Cameroon,Garoua I,North,,Bénoué,120232,City Arrondissement,Garoua,,Garoua,2005,NorthCameroon,,,,,locality,,CM-NO,Garoua I,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Garoua II,North,,Bénoué,117841,City Arrondissement,Garoua,,Garoua,2005,NorthCameroon,,,,,locality,,CM-NO,Garoua II,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Garoua III,North,,Bénoué,27229,City Arrondissement,Garoua,,Garoua,2005,NorthCameroon,,,,,locality,,CM-NO,Garoua III,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Guider,North,,Mayo-Louti,223503,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,locality,,CM-NO,Guider,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Touboro,North,,Mayo-Rey,154366,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,locality,,CM-NO,Touboro,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Lagdo,North,,Bénoué,142129,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,locality,,CM-NO,Lagdo,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Bibemi,North,,Bénoué,133191,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,locality,,CM-NO,Bibemi,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Rey-Bouba,North,,Mayo-Rey,116192,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,locality,,CM-NO,Rey-Bouba,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Mayo-Oulo,North,,Mayo-Louti,99826,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,locality,,CM-NO,Mayo-Oulo,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Tcheboa,North,,Bénoué,92658,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,,,,,,,,,region,1,CM-NO,Nord,NONE,0.0,CM-NO
Cameroon,Cameroon,Pitoa,North,,Bénoué,76715,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,locality,,CM-NO,Pitoa,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Figuil,North,,Mayo-Louti,67997,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,locality,,CM-NO,Figuil,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Madingring,North,,Mayo-Rey,57347,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,locality,,CM-NO,Madingring,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Tcholliré,North,,Mayo-Rey,47296,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,locality,,CM-NO,Tcholliré,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Touroua,North,,Bénoué,40674,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,locality,,CM-NO,Touroua,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Poli,North,,Faro,37882,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,locality,,CM-NO,Poli,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
Cameroon,Cameroon,Demsa,North,,Bénoué,37282,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,,,,,,,,,region,1,CM-NO,Nord,NONE,0.0,CM-NO
Cameroon,Cameroon,Beka,North,,Faro,31595,Arrondissement,,,#N/A,2005,NorthCameroon,,,,,locality,,CM-NO,Béka,,,,,region,1,CM-NO,Nord,HIGH,1.0,CM-NO
