sheet_row,team,country,reep_v1_id,reep_v1_label,reep_country,seasons_of_evidence,tier,evidence,in_lookup
1554,White Star Woluwe,Belgium,rt16a25e39bb998d,White Star Bruxelles,Belgium,1,ELIM-token,2012/2013 Challenger Pro League ELIM-token,yes
,Seraing United,Belgium,rt3cce36f177449f,Seraing,Belgium,1,ELIM-token,2014/2015 Challenger Pro League ELIM-token,no (table name not in Lookup)
1631,NK Čelik Zenica,Bosnia-Herzegovina,rt769a244710e17f,Čelik,Bosnia-Herzegovina,18,ELIM-token,2002/2003 Premijer Liga ELIM-token | 2003/2004 Premijer Liga ELIM-1 | 2004/2005 Premijer Liga ELIM-1 | 2005/2006 Premijer Liga ELIM-1 | 2006/2007 Premijer Liga ELIM-1 | 2007/2008 Premijer Liga ELIM-1,yes
8720,CSA,Brazil,rt82235bfb6f61c5,CSA,Brazil,9,ELIM-1,2019 Serie A ELIM-1 | 2018 Serie B ELIM-1 | 2020 Serie B ELIM-name | 2021 Serie B ELIM-1 | 2022 Serie B ELIM-1 | 2017 Copa do Brasil ELIM-name,yes
8735,Gama,,,,,5,CONFLICT,rtbb86372fb38fb1=Gama: 2006 Serie B ELIM-name | 2007 Serie B ELIM-name | 2008 Serie B ELIM-name || rt4755b887b873fc=Vasco da Gama: 2009 Copa do Brasil ELIM-token,yes
8743,Brasiliense,,,,,11,CONFLICT,rt6ddb6887e7de3c=Brasiliense: 2006 Serie B ELIM-name | 2007 Serie B ELIM-name | 2008 Serie B ELIM-name || rtd7e6f6b76149f0=Brasil de Pelotas: 2013 Copa do Brasil ELIM-token,yes
8772,Luverdense,Brazil,rt34690d88c1a3da,Luverdense,Brazil,5,ELIM-name,2014 Serie B ELIM-name | 2015 Serie B ELIM-name | 2016 Serie B ELIM-name | 2017 Serie B ELIM-1 | 2025 Serie D ELIM-name,yes
,Botafogo-SP,,,,,11,CONFLICT,rtdd7cc497b7e4ad=Botafogo SP: 2019 Serie B ELIM-name | 2020 Serie B ELIM-name | 2023 Serie B ELIM-1 || rtb76e97a618357d=Botafogo: 2016 Copa do Brasil ELIM-token | 2017 Copa do Brasil ELIM-token | 2018 Copa do Brasil ELIM-token,no
8781,Águia de Marabá,,,,,6,CONFLICT,rt8176cdcbe5daae=Águia de Marabá: 2009 Copa do Brasil ELIM-name | 2013 Copa do Brasil ELIM-name | 2023 Copa do Brasil ELIM-name || rtcae4e3815ba262=Águia Negra: 2015 Copa do Brasil ELIM-token,yes
8754,Manaus FC,Brazil,rt34e2de9a09c95b,Manaus,Brazil,6,ELIM-name,2020 Copa do Brasil ELIM-name | 2021 Copa do Brasil ELIM-name | 2022 Serie C ELIM-name | 2023 Serie C ELIM-name | 2019 Copa do Brasil ELIM-name | 2025 Serie D ELIM-name,yes
8791,AA Altos,Brazil,rt71a90b587c29c3,Altos,Brazil,4,ELIM-token,2022 Serie C ELIM-token | 2023 Serie C ELIM-token | 2019 Copa do Brasil ELIM-token | 2025 Serie D ELIM-token,yes
8806,São Raimundo-RR,Brazil,rtdc6e34a2bdbeca,São Raimundo RR,Brazil,5,ELIM-name,2019 Copa do Brasil ELIM-name | 2021 Copa do Brasil ELIM-name | 2022 Copa do Brasil ELIM-name | 2023 Copa do Brasil ELIM-name | 2024 Copa do Brasil ELIM-name,yes
8936,Santos Macapá-Amapá,Brazil,rta1b061380a4b09,Santos,Brazil,1,ELIM-token,2019 Copa do Brasil ELIM-token,yes
9228,Vitória das Tabocas,Brazil,rtce0e4e68d89aac,Vitória,Brazil,1,ELIM-short,2019 Copa do Brasil ELIM-short,yes
9300,Clube Esportivo,Brazil,rt9e9623f3f2afe3,Esportivo,Brazil,1,ELIM-name,2021 Copa do Brasil ELIM-name,yes
8803,Porto Velho EC,Brazil,rtb715853d3de549,Porto Velho EC,Brazil,4,ELIM-name,2021 Copa do Brasil ELIM-name | 2022 Copa do Brasil ELIM-name | 2024 Copa do Brasil ELIM-name | 2025 Serie D ELIM-name,yes
8732,Treze,Brazil,rt4241701fe601eb,Treze,Brazil,3,ELIM-name,2021 Copa do Brasil ELIM-name | 2024 Copa do Brasil ELIM-name | 2025 Serie D ELIM-name,yes
8775,União de Rondonópolis,Brazil,rt5abc12b3263cee,União Rondonópolis,Brazil,3,ELIM-name,2021 Copa do Brasil ELIM-name | 2023 Copa do Brasil ELIM-name | 2024 Copa do Brasil ELIM-name,yes
8748,Humaitá,Brazil,rtb410a019ef3e63,Humaitá,Brazil,4,ELIM-name,2022 Copa do Brasil ELIM-name | 2023 Copa do Brasil ELIM-name | 2024 Copa do Brasil ELIM-name | 2025 Serie D ELIM-name,yes
8763,Ceilândia,Brazil,rt2a6024a4d43d11,Ceilândia,Brazil,3,ELIM-name,2022 Copa do Brasil ELIM-name | 2023 Copa do Brasil ELIM-name | 2025 Serie D ELIM-name,yes
8814,Tocantinópolis,Brazil,rtcd5b83030dc2af,Tocantinópolis,Brazil,4,ELIM-name,2022 Copa do Brasil ELIM-name | 2023 Copa do Brasil ELIM-name | 2024 Copa do Brasil ELIM-name | 2025 Serie D ELIM-name,yes
8752,Trem TD,Brazil,rt6984733a69fff4,Trem,Brazil,4,ELIM-token,2022 Copa do Brasil ELIM-token | 2023 Copa do Brasil ELIM-token | 2024 Copa do Brasil ELIM-token | 2025 Serie D ELIM-token,yes
9169,São Paulo Crystal,Brazil,rt504d2cbfcd2bc7,São Paulo,Brazil,1,ELIM-token,2022 Copa do Brasil ELIM-token,yes
8764,Real Noroeste Capixaba,Brazil,rt1931e6fa46f915,Real Noroeste,Brazil,3,ELIM-token,2022 Copa do Brasil ELIM-token | 2023 Copa do Brasil ELIM-token | 2024 Copa do Brasil ELIM-token,yes
8917,Cruzeiro de Arapiraca,Brazil,rtd076c288773b0f,Cruzeiro,Brazil,1,ELIM-token,2023 Copa do Brasil ELIM-token,yes
8787,São Joseense,Brazil,rt56602c3a84b420,Athletico Paranaense,Brazil,1,ELIM-short,2023 Copa do Brasil ELIM-short,yes
,Petrolina Social FC,Brazil,rtaf95463bdf8186,Petrolina,Brazil,1,ELIM-token,2024 Copa do Brasil ELIM-token,no (table name not in Lookup)
8750,Clube Sociedade Esportiva,Brazil,rtc21fb9e559a53e,Caxias do Sul,Brazil,1,ELIM-short,2024 Copa do Brasil ELIM-short,yes
,União AC,Brazil,rt9ee394d74aea25,União TO,Brazil,1,ELIM-token,2025 Serie D ELIM-token,no (table name not in Lookup)
8804,Grêmio Atlético Sampaio,Brazil,rt78e97396606e7c,GAS,Brazil,1,ELIM-short,2025 Serie D ELIM-short,yes
,Rio Branco AC,Brazil,rt799a6296b73f54,Rio Branco ES,Brazil,1,ELIM-short,2025 Serie D ELIM-short,no (table name not in Lookup)
1702,Lokomotiv Sofia,,,,,21,CONFLICT,rt2ad31c094e070f=Lokomotiv Sofia: 1999/2000 First League ELIM-name | 2000/2001 First League ELIM-name | 2001/2002 First League ELIM-name || rt2a833c64ab06fa=Marek: 2005/2006 First League ELIM-1-blind || rtbd62eaf72f0603=Lokomotiv Sofia 1929: 2021/2022 First League ELIM-1 | 2022/2023 First League ELIM-name | 2023/2024 First League ELIM-name,yes
,Olimpik-Beroe,Bulgaria,rt3db4b4f1dfea0a,Beroe Stara Zagora,Bulgaria,1,ELIM-token,1999/2000 First League ELIM-token,no (table name not in Lookup)
1737,PFK Velbazhd,Bulgaria,rte65acef530c3fa,Velbazhd Kyustendil,Bulgaria,2,ELIM-token,1999/2000 First League ELIM-token | 2000/2001 First League ELIM-token,yes
1728,PFC Haskovo,Bulgaria,rte5a4064acbddf5,FK Haskovo,Bulgaria,1,ELIM-name,2014/2015 First League ELIM-name,yes
1706,Dunav Rousse,Bulgaria,rt902ba7137cf00a,Dunav ot Ruse,Bulgaria,4,ELIM-1,2016/2017 First League ELIM-1 | 2017/2018 First League ELIM-token | 2018/2019 First League ELIM-token | 2019/2020 First League ELIM-token,yes
599,Shenzhen Kingway,China,rt2ed7653e2dd15c,Shenzhen,China,1,ELIM-token,2006 Chinese Super League ELIM-token,yes
651,Zhejiang Bebei Greentown,China,rt7d00d17ba329a0,Zhejiang,China,1,ELIM-token,2007 Chinese Super League ELIM-token,yes
601,Shenzhen Shangqingyin,China,rt2ed7653e2dd15c,Shenzhen,China,1,ELIM-token,2007 Chinese Super League ELIM-token,yes
602,Shenzhen Xiangxue Eisiti,China,rt2ed7653e2dd15c,Shenzhen,China,1,ELIM-token,2008 Chinese Super League ELIM-token,yes
596,Guangzhou GPC,China,rt6dc99fc86ad891,Guangzhou,China,2,ELIM-short,2008 Chinese Super League ELIM-short | 2009 Chinese Super League ELIM-short,yes
598,Shenzhen Asia Travel FC,China,rt2ed7653e2dd15c,Shenzhen,China,1,ELIM-token,2009 Chinese Super League ELIM-token,yes
600,Shenzhen Ruby,China,rt2ed7653e2dd15c,Shenzhen,China,2,ELIM-token,2010 Chinese Super League ELIM-token | 2011 Chinese Super League ELIM-token,yes
624,Dalian Yifang,China,rtf970a9446a1b24,Dalian Pro,China,2,ELIM-short,2018 Chinese Super League ELIM-short | 2019 Chinese Super League ELIM-short,yes
629,Qingdao Huanghai,China,rt56ce50212d2a1b,Qingdao FC,China,1,ELIM-short,2020 Chinese Super League ELIM-short,yes
,Shenzhen Peng City,China,rt4142e3f31f9843,Shenzhen Peng City,China,3,ELIM-name,2024 Chinese Super League ELIM-name | 2025 Chinese Super League ELIM-name | 2026 Chinese Super League ELIM-name,no (table name not in Lookup)
,Qingdao West Coast,China,rtb1d99db33fc8cb,Qingdao West Coast,China,3,ELIM-name,2024 Chinese Super League ELIM-name | 2025 Chinese Super League ELIM-name | 2026 Chinese Super League ELIM-name,no (table name not in Lookup)
,Slaven Belupo,Croatia,rt455cbb7a6b02f2,Slaven Koprivnica,Croatia,2,ELIM-token,2004/2005 HNL ELIM-token | 2005/2006 HNL ELIM-token,no (table name not in Lookup)
1881,Ethnikos Assia,Cyprus,rt083f6626328b39,Ethnikos Assias,Cyprus,1,ELIM-1,2001/2002 1. Division ELIM-1,yes
1888,ENTHOI Lakatamia FC,Cyprus,rtf5f335a20b1b6d,EN THOI Lakatamia,Cyprus,1,ELIM-1,2005/2006 1. Division ELIM-1,yes
,Frydek-Mistek,Czech Republic,rt249c8fc6181f79,Frýdek-Místek,Czech Republic,1,ELIM-1,2013/2014 FNL ELIM-1,no (table name not in Lookup)
,SK Artis Brno,Czech Republic,rt5cf076043d61a3,Artis Brno,Czech Republic,1,ELIM-1,2025/2026 FNL ELIM-1,no (table name not in Lookup)
,Union Cheb,Czech Republic,rtc538d6b5d9eb78,Union Cheb,Czech Republic,3,ELIM-name,1993/1994 Czech Liga ELIM-name | 1994/1995 Czech Liga ELIM-name | 1995/1996 Czech Liga ELIM-name,no (table name not in Lookup)
,Svit Zlin,Czech Republic,rt2989d5bd2f8f30,Zlín,Czech Republic,3,ELIM-token,1993/1994 Czech Liga ELIM-token | 1994/1995 Czech Liga ELIM-token | 1995/1996 Czech Liga ELIM-token,no (table name not in Lookup)
,Boby Brno,Czech Republic,rt8c301e198d54bf,Zbrojovka Brno,Czech Republic,6,ELIM-token,1993/1994 Czech Liga ELIM-token | 1994/1995 Czech Liga ELIM-token | 1995/1996 Czech Liga ELIM-token | 1996/1997 Czech Liga ELIM-token | 1997/1998 Czech Liga ELIM-token | 1998/1999 Czech Liga ELIM-token,no (table name not in Lookup)
,Spartak Hradec Králové,Czech Republic,rt22e3bf631669ea,Hradec Králové,Czech Republic,1,ELIM-token,1993/1994 Czech Liga ELIM-token,no (table name not in Lookup)
,Svarc Benešov,Czech Republic,rt136869b20aece0,Benešov,Czech Republic,1,ELIM-token,1994/1995 Czech Liga ELIM-token,no (table name not in Lookup)
,Bohemians Praha,Czech Republic,rt5ae5c11501b087,Bohemians 1905,Czech Republic,4,ELIM-token,1994/1995 Czech Liga ELIM-token | 1996/1997 Czech Liga ELIM-token | 1999/2000 Czech Liga ELIM-token | 2000/2001 Czech Liga ELIM-1,no (table name not in Lookup)
,Kaucuk Opava,Czech Republic,rt433eb1898bac2b,Opava,Czech Republic,3,ELIM-token,1995/1996 Czech Liga ELIM-token | 1996/1997 Czech Liga ELIM-token | 1997/1998 Czech Liga ELIM-token,no (table name not in Lookup)
,FC Karvina,Czech Republic,rt70de684115ecb4,Karviná,Czech Republic,2,ELIM-name,1996/1997 Czech Liga ELIM-name | 1998/1999 Czech Liga ELIM-name,no (table name not in Lookup)
1954,AFK Lazne Bohdanec,Czech Republic,rt2eb9e26fb54167,Bohdanec,Czech Republic,1,ELIM-token,1997/1998 Czech Liga ELIM-token,yes
,Dukla Pribram,Czech Republic,rt251105b853f5c5,Příbram,Czech Republic,1,ELIM-token,1999/2000 Czech Liga ELIM-token,no (table name not in Lookup)
,FC Střížkov Praha,Czech Republic,rt5ae5c11501b087,Bohemians 1905,Czech Republic,2,ELIM-1,2001/2002 Czech Liga ELIM-1 | 2002/2003 Czech Liga ELIM-1,no (table name not in Lookup)
,FC Zlín,Czech Republic,rt2989d5bd2f8f30,Zlín,Czech Republic,1,ELIM-1,2025/2026 Czech Liga ELIM-1,no (table name not in Lookup)
1989,AGF Århus,Denmark,rt073d5dcaf8d73a,AGF,Denmark,33,ELIM-1,2006/2007 1. Division ELIM-1 | 2010/2011 1. Division ELIM-short | 2014/2015 1. Division ELIM-1 | 1993/1994 Superliga ELIM-1 | 1994/1995 Superliga ELIM-1 | 1995/1996 Superliga ELIM-1,yes
179,Al Minya FC,Egypt,rte48a7a50ceff49,El Minya,Egypt,1,ELIM-1,2013/2014 Premier League ELIM-1,yes
170,Nasr Cairo,Egypt,rta18bb8fc3b965e,Al Nasr,Egypt,2,ELIM-token,2014/2015 Premier League ELIM-token | 2017/2018 Premier League ELIM-token,yes
173,El Sharkia SC,Egypt,rt0d63ac4fbb406e,El Sharqiya,Egypt,1,ELIM-1,2016/2017 Premier League ELIM-1,yes
157,Eastern Company SC,Egypt,rtd8885e02765292,El Sharqia Dokhan,Egypt,1,ELIM-1,2021/2022 Premier League ELIM-1,yes
,Modern Sport FC,Egypt,rtf23edc543b2088,Modern,Egypt,3,ELIM-name,2023/2024 Premier League ELIM-name | 2024/2025 Premier League ELIM-name | 2025/2026 Premier League ELIM-name,no (table name not in Lookup)
,ZED FC,Egypt,rt214ae6b5a9ed2b,ZED,Egypt,3,ELIM-name,2023/2024 Premier League ELIM-name | 2024/2025 Premier League ELIM-name | 2025/2026 Premier League ELIM-name,no (table name not in Lookup)
,Cardiff City,England,rt6dc1794a66104e,Cardiff City,Wales,46,ELIM-1,2004/2005 Championship ELIM-1 | 2005/2006 Championship ELIM-1 | 2006/2007 Championship ELIM-1 | 2007/2008 Championship ELIM-1 | 2008/2009 Championship ELIM-name | 2009/2010 Championship ELIM-name,no (table name not in Lookup)
,Swansea City,England,rtb3e9f092ec5270,Swansea City,Wales,36,ELIM-name,2008/2009 Championship ELIM-name | 2009/2010 Championship ELIM-name | 2010/2011 Championship ELIM-name | 2018/2019 Championship ELIM-1 | 2019/2020 Championship ELIM-name | 2020/2021 Championship ELIM-name,no (table name not in Lookup)
,Wrexham,England,rtc04ce170fc153d,Wrexham,Wales,31,ELIM-name,2025/2026 Championship ELIM-name | 2008/2009 FA Cup ELIM-name | 2009/2010 FA Cup ELIM-name | 2010/2011 National League ELIM-name | 2011/2012 National League ELIM-name | 2012/2013 National League ELIM-name,no (table name not in Lookup)
,Stevenage Borough,England,rt84087618db2514,Stevenage,England,3,ELIM-token,2004/2005 EFL Trophy ELIM-token | 2005/2006 EFL Trophy ELIM-token | 2006/2007 FA Cup ELIM-token,no (table name not in Lookup)
2518,Gravesend & Northfleet,England,rt49f0771087c715,Preston North End,England,1,ELIM-token,2006/2007 FA Cup ELIM-token,yes
,Gateshead,England,rt897585483eca40,Gateshead,England,14,ELIM-name,2009/2010 FA Cup ELIM-name | 2010/2011 National League ELIM-name | 2011/2012 National League ELIM-name | 2012/2013 National League ELIM-name | 2013/2014 National League ELIM-name | 2014/2015 National League ELIM-name,no (table name not in Lookup)
,Newport County,England,rtadd92224a6586e,Newport County,Wales,16,ELIM-name,2010/2011 National League ELIM-name | 2011/2012 National League ELIM-name | 2012/2013 National League ELIM-name | 2013/2014 League Two ELIM-1 | 2014/2015 League Two ELIM-1 | 2015/2016 League Two ELIM-1,no (table name not in Lookup)
,Hyde,England,rtb044e55bc0dbc7,Hyde United,England,2,ELIM-token,2012/2013 National League ELIM-token | 2013/2014 National League ELIM-token,no (table name not in Lookup)
,FC Lootus Alutaguse,Estonia,rtd08a26426f6eca,Lootus,Estonia,1,ELIM-token,2004 Premium liiga ELIM-token,no (table name not in Lookup)
2757,Maag Tammeka,Estonia,rt1908fdb3728bc8,Tammeka,Estonia,2,ELIM-1,2007 Premium liiga ELIM-1 | 2008 Premium liiga ELIM-token,yes
2771,VB Vágur,Faroe Islands,rt2a201b48908541,Suduroy,Faroe Islands,2,ELIM-1,2006 Meistaradeildin ELIM-1 | 2007 Meistaradeildin ELIM-1,yes
,KTP Kotka,Finland,rtf1695267151b74,KTP,Finland,1,ELIM-short,1999 Veikkausliiga ELIM-short,no (table name not in Lookup)
,FC KTP,Finland,rtf1695267151b74,KTP,Finland,2,ELIM-1,2015 Veikkausliiga ELIM-1 | 2021 Veikkausliiga ELIM-1,no (table name not in Lookup)
2801,KPV Kokkola,Finland,rt2a3dddade9ec05,KPV,Finland,1,ELIM-1,2019 Veikkausliiga ELIM-1,yes
,Amiens SC,France,rt76ba97e65485e1,Amiens SC,France,32,ELIM-name,2000/2001 National 1 ELIM-name | 2009/2010 National 1 ELIM-name | 2010/2011 National 1 ELIM-name | 2012/2013 National 1 ELIM-1 | 2013/2014 National 1 ELIM-1 | 2014/2015 National 1 ELIM-1,no (table name not in Lookup)
,La Roche-sur-Yon VF,France,rted63964a254596,La Roche VF,France,3,ELIM-token,2000/2001 National 1 ELIM-token | 2001/2002 National 1 ELIM-token | 2002/2003 National 1 ELIM-token,no (table name not in Lookup)
3243,US Lusitanos Saint-Maur,France,rt1379faff436bd2,St Maur Lusitanos,France,1,ELIM-token,2001/2002 National 1 ELIM-token,yes
,US Raon-l'Étape,France,rt0ac92d188fe2eb,Raon l'Etape,France,4,ELIM-1,2003/2004 National 1 ELIM-1 | 2004/2005 National 1 ELIM-name | 2005/2006 National 1 ELIM-name | 2006/2007 National 1 ELIM-1,no (table name not in Lookup)
,AC Arles,France,rt57a82cef332541,Arles,France,2,ELIM-1,2007/2008 National 1 ELIM-1 | 2008/2009 National 1 ELIM-name,no (table name not in Lookup)
3170,Gap HAFC,France,rteacc9147d9044d,Gap,France,1,ELIM-short,2010/2011 National 1 ELIM-short,yes
,AS Monaco,France,rt9b9371ba8df185,Monaco,Monaco,32,ELIM-1,1994/1995 Ligue 1 ELIM-1 | 1995/1996 Ligue 1 ELIM-1 | 1996/1997 Ligue 1 ELIM-1 | 1997/1998 Ligue 1 ELIM-1 | 1998/1999 Ligue 1 ELIM-1 | 1999/2000 Ligue 1 ELIM-1,no (table name not in Lookup)
,Red Star 93,France,rt8b02606a38ec86,Red Star,France,6,ELIM-token,1993/1994 Ligue 2 ELIM-token | 1994/1995 Ligue 2 ELIM-token | 1995/1996 Ligue 2 ELIM-token | 1996/1997 Ligue 2 ELIM-token | 1997/1998 Ligue 2 ELIM-token | 1998/1999 Ligue 2 ELIM-token,no (table name not in Lookup)
,FCO Charleville,France,rtc3e84913dd0f70,Charleville,France,4,ELIM-short,1993/1994 Ligue 2 ELIM-short | 1994/1995 Ligue 2 ELIM-short | 1995/1996 Ligue 2 ELIM-short | 1996/1997 Ligue 2 ELIM-short,no (table name not in Lookup)
,Stade Poitevin PEPP,France,rt254a5ec92409b1,Stade Poitevin,France,1,ELIM-token,1995/1996 Ligue 2 ELIM-token,no (table name not in Lookup)
,Gorda Rustavi,Georgia,rtc0256b0baaa992,Metalurgi Rustavi,Georgia,7,ELIM-token,1990 Erovnuli Liga ELIM-token | 1991 Erovnuli Liga ELIM-token | 1991/1992 Erovnuli Liga ELIM-token | 1998/1999 Erovnuli Liga ELIM-token | 1999/2000 Erovnuli Liga ELIM-token | 2000/2001 Erovnuli Liga ELIM-token,no (table name not in Lookup)
,FC Batumi,Georgia,rt169b71d59784b4,Dinamo Batumi,Georgia,4,ELIM-token,1990 Erovnuli Liga ELIM-token | 1991 Erovnuli Liga ELIM-token | 1992/1993 Erovnuli Liga ELIM-token | 1993/1994 Erovnuli Liga ELIM-token,no (table name not in Lookup)
,Iberia Tbilisi,Georgia,rt7bf0aa2bd05477,Dinamo Tbilisi,Georgia,2,ELIM-token,1990 Erovnuli Liga ELIM-token | 1991 Erovnuli Liga ELIM-token,no (table name not in Lookup)
,FC Kutaisi,Georgia,rt05a8ccc727dfae,Torpedo Kutaisi,Georgia,3,ELIM-token,1990 Erovnuli Liga ELIM-token | 1991 Erovnuli Liga ELIM-token | 1991/1992 Erovnuli Liga ELIM-token,no (table name not in Lookup)
,Samgurali Tskhaltubo,Georgia,rt01dc7f5c3f5b41,Samgurali,Georgia,11,ELIM-token,1990 Erovnuli Liga ELIM-token | 1991 Erovnuli Liga ELIM-token | 1991/1992 Erovnuli Liga ELIM-token | 1992/1993 Erovnuli Liga ELIM-token | 1993/1994 Erovnuli Liga ELIM-token | 1994/1995 Erovnuli Liga ELIM-token,no (table name not in Lookup)
,Sanavardo Samtredia,Georgia,rt6913b1391e3509,Samtredia,Georgia,2,ELIM-token,1990 Erovnuli Liga ELIM-token | 1991 Erovnuli Liga ELIM-token,no (table name not in Lookup)
,Kakheti Telavi,Georgia,rt9a355b5d1ce7cf,Kakheti Telavi,Georgia,5,ELIM-name,1992/1993 Erovnuli Liga ELIM-name | 1993/1994 Erovnuli Liga ELIM-name | 1994/1995 Erovnuli Liga ELIM-name | 1995/1996 Erovnuli Liga ELIM-name | 1996/1997 Erovnuli Liga ELIM-name,no (table name not in Lookup)
,Lokomotivi Samtredia,Georgia,rt6913b1391e3509,Samtredia,Georgia,1,ELIM-token,1992/1993 Erovnuli Liga ELIM-token,no (table name not in Lookup)
,Magharoeli Chiatura,Georgia,rtf67414cdceba7b,Magharoeli Chiatura,Georgia,2,ELIM-name,1993/1994 Erovnuli Liga ELIM-name | 1997/1998 Erovnuli Liga ELIM-name,no (table name not in Lookup)
,Iberia Samtredia,Georgia,rt6913b1391e3509,Samtredia,Georgia,3,ELIM-token,1998/1999 Erovnuli Liga ELIM-token | 1999/2000 Erovnuli Liga ELIM-token | 2000/2001 Erovnuli Liga ELIM-token,no (table name not in Lookup)
,Metalurgi Zestafoni,Georgia,rt0bc3569718d68b,Metalurgi Zestafoni,Georgia,1,ELIM-name,2001/2002 Erovnuli Liga ELIM-name,no (table name not in Lookup)
,FC Iberia 1999,Georgia,rt5e8b157975896c,Iberia 1999,Georgia,3,ELIM-1,2024 Erovnuli Liga ELIM-1 | 2025 Erovnuli Liga ELIM-1 | 2026 Erovnuli Liga ELIM-name,no (table name not in Lookup)
,FC Rustavi,Georgia,rt050e8da6077d20,Rustavi,Georgia,1,ELIM-name,2026 Erovnuli Liga ELIM-name,no (table name not in Lookup)
,LR Ahlen,Germany,rt6c5a470bdad5dd,Rot Weiss Ahlen,Germany,6,ELIM-1,2000/2001 2. Bundesliga ELIM-1 | 2001/2002 2. Bundesliga ELIM-1 | 2002/2003 2. Bundesliga ELIM-1 | 2003/2004 2. Bundesliga ELIM-1 | 2004/2005 2. Bundesliga ELIM-1 | 2005/2006 2. Bundesliga ELIM-1,no (table name not in Lookup)
,RW Ahlen,Germany,rt6c5a470bdad5dd,Rot Weiss Ahlen,Germany,1,ELIM-token,2008/2009 2. Bundesliga ELIM-token,no (table name not in Lookup)
3857,Man United Gibraltar,Gibraltar,rt958a2da84f261b,Manchester 62,Gibraltar,1,ELIM-1,2014/2015 League Cup ELIM-1,yes
3873,AEL 1964,Greece,rtf5b903d9bf2d90,Larissa,Greece,19,ELIM-1,1994/1995 Super League 1 ELIM-1 | 1995/1996 Super League 1 ELIM-short | 2005/2006 Super League 1 ELIM-short | 2011/2012 Cup ELIM-short | 2012/2013 Cup ELIM-short | 2006/2007 Super League 1 ELIM-short,yes
3875,Apollon Kalamarias,Greece,rtc9040d0c3dfe29,Apollon Kalamarias,Greece,9,ELIM-1,2004/2005 Super League 1 ELIM-1 | 2005/2006 Super League 1 ELIM-name | 2008/2009 Cup ELIM-name | 2013/2014 Cup ELIM-name | 2014/2015 Cup ELIM-name | 2017/2018 Cup ELIM-name,yes
3876,Panthrakikos FC,Greece,rta86d44bd39f3d7,Panthrakikos,Greece,10,ELIM-name,2006/2007 Cup ELIM-name | 2010/2011 Cup ELIM-name | 2011/2012 Cup ELIM-name | 2016/2017 Cup ELIM-name | 2008/2009 Super League 1 ELIM-name | 2009/2010 Super League 1 ELIM-name,yes
3948,Anagennisi Giannitsa,,,,,3,CONFLICT,rtd7fa63f8029149=Odysseas Anagennisi: 2011/2012 Cup ELIM-token || rtd2609f5e18f6b1=Anagennisi Karditsas: 2012/2013 Cup ELIM-token || rt0749ead67e8197=AS Giannitsa: 2013/2014 Cup ELIM-short,yes
3883,Zakynthos FC,Greece,rt40db1eedd7a243,Zakynthos,Greece,4,ELIM-name,2013/2014 Cup ELIM-name | 2014/2015 Cup ELIM-name | 2015/2016 Cup ELIM-name | 2021/2022 Super League 2 ELIM-name,yes
3933,AO Glyfada,Greece,rta695f88fde8b0e,Glyfadas,Greece,1,ELIM-token,2013/2014 Cup ELIM-token,yes
3966,Tilikratis Lefkada,Greece,rtdcff6e5d073d9b,Tilikratis,Greece,1,ELIM-token,2023/2024 Super League 2 ELIM-token,yes
,Stadler FC,Hungary,rtd1378c96ae4e5c,Stadler,Hungary,3,ELIM-name,1995/1996 NB I ELIM-name | 1996/1997 NB I ELIM-name | 1997/1998 NB I ELIM-name,no (table name not in Lookup)
,Kispest Honved FC,Hungary,rt07e078c8139d67,Honvéd,Hungary,7,ELIM-token,1995/1996 NB I ELIM-token | 1996/1997 NB I ELIM-token | 1997/1998 NB I ELIM-token | 1998/1999 NB I ELIM-token | 1999/2000 NB I ELIM-token | 2001/2002 NB I ELIM-token,no (table name not in Lookup)
,Újpesti TE,Hungary,rt9ab1909fda1410,Újpest,Hungary,3,ELIM-token,1995/1996 NB I ELIM-token | 1996/1997 NB I ELIM-token | 1997/1998 NB I ELIM-token,no (table name not in Lookup)
,BVSC Budapest,Hungary,rtca17207c9ed1ec,BVSC Zugló,Hungary,2,ELIM-token,1995/1996 NB I ELIM-token | 1996/1997 NB I ELIM-token,no (table name not in Lookup)
,III. Kerületi TUE,Hungary,rt9e8c380dd16fdf,III. Kerületi,Hungary,1,ELIM-token,1996/1997 NB I ELIM-token,no (table name not in Lookup)
,Vác-Újbuda LTC,Hungary,rt6dcfabeb391d31,Vác,Hungary,2,ELIM-short,1996/1997 NB I ELIM-short | 1999/2000 NB I ELIM-short,no (table name not in Lookup)
,BVSC-Zugló FC,Hungary,rtca17207c9ed1ec,BVSC Zugló,Hungary,2,ELIM-name,1997/1998 NB I ELIM-name | 1998/1999 NB I ELIM-name,no (table name not in Lookup)
,Diósgyőri FC,Hungary,rt80b46a0f4389d9,Diósgyőr,Hungary,2,ELIM-token,1997/1998 NB I ELIM-token | 1998/1999 NB I ELIM-token,no (table name not in Lookup)
,Vác FC-Zollner,Hungary,rt6dcfabeb391d31,Vác,Hungary,2,ELIM-short,1997/1998 NB I ELIM-short | 1998/1999 NB I ELIM-short,no (table name not in Lookup)
,Siofok FC,Hungary,rt22ba3f17be479b,Siófok,Hungary,2,ELIM-name,1998/1999 NB I ELIM-name | 2002/2003 NB I ELIM-name,no (table name not in Lookup)
