country,league,end_year,reep_competition,site_clubs_left,reep_teams_left
Belgium,Belgian First Division B Opening,2019,Cup,KSC Lokeren,rt2f4602c0f2b97f=Kosova Schaerbeek; rt0427bc901fab6c=Binche; rt195c0db193ae9a=Ninove; rtb903f449226011=Sporting Kampenhout; rt8fb6c244356bb2=Betekom; rtcf3a3a6518e1c3=Eendracht Aalst Lede; rta9072b8bb26ed4=Sporting Châtelet; rt228094d5483dd8=Champlon; rtd3e3b697f86421=Eupen; rtd902ba703aec2b=Léopold; rt1e29f28f520288=Heist; rtfc266a50f9ec01=Flavion Sport; rt5edeefa0028a38=Auderghem; rt245f4c531ee5d3=Eendracht Aalter; rt56608fafa39318=URSL Visé; rt6e8caf9dca6535=Avanti; rt341d99280b30e8=Lyra; rte0c3ffcb302350=Wingene; rtb00745527cecc1=La Roche; rt05fd87c6f67c13=Alliance Hautes Fagnes; rt1715caf707ac7e=Longlier II; rt2f2a1a913a2a0a=Oostkamp; rt77961c126501e1=RAAL La Louvière; rt21a778506fdf53=Bornem; rt989fd4e33fbcc4=Francs Borains; rt1187140acfc1b2=Elene-Grotenberge; rt1996e42c586782=Ligny; rt9150c36316f243=Houdinois; rt49089808b6c52f=Heusy Rouheid; rt3dc4a0eab75212=Tienen; rt5a6cecd1e7b20e=Aubel; rtc228aa7efcc877=Union Namur; rt224d7aea7d535c=Tournai; rt41b89d2a64548b=Thes Sport; rt38ab5a1de52756=PAC Buzet; rt7182ae84b88774=Gent; rt2de00bdfbdc182=La Calamine; rtf77f98ab8d10da=Toekomst Menen; rta86a02303479a2=Herkol; rt484d7899205e25=Soignies Sports; rtb448695a85c886=Wevelgem City; rt2a866f14202bef=Sprimont; rtfaa46966a13323=Patro Eisden; rtc0183cf996f572=Melreux; rt31eb44ad382705=Alliance Huppaytoise; rt8fc9ccff354dcf=RC Lauwe; rt9e3e802c5011d3=Zwarte Leeuw; rt50a6639a488062=Marloie Sport; rt6480b383ff1430=Munkzwalm; rtc56e1885a720ef=Hades; rt5b5df74c0a3841=Sterrebeek; rt376883ab1e7858=Putte; rt9db43717d496fc=Bosquetia Frameries; rt3b1ffa20b7ca7e=Anderlecht; rt741260a62bb8d0=Oudenhove; rt4ac0c5e475d8d2=Dikkelvenne; rt3ad6e51d60f0e1=Sint-Truiden; rt8ce20acbdf3c72=Gullegem; rt12345d4de580e5=Bambrugge; rt27c64d37d26d52=RAS Monceau; rt637da2153ac90b=Ardennen; rt5fed00125cd762=Excelsior Bouwel; rt939a24663dff82=Drongen; rt85f9c58994e14e=Esperanza Pelt; rtc7486a3ea075d4=Zulte Waregem; rt51cbc5f54bc419=Niel United; rtfb2a1efff0e75e=Meix-Devant-Virton; rt7830c33ffc7919=ES de la Molignée; rtbe90a50efc91e5=Stade Bierbeek; rtabb6133c611390=Dender; rt1aae6ac680db93=ASC Berchem; rt09791a3fc6bb01=Kobbegem; rtb2ea6b9e43dc26=Liège; rtb5bebde41cc9b3=Honsfeld; rt5fa55a26620aac=Deinze; rt477c244aeadeed=RES Durbuy; rt328440cc3ed8c6=Warnant; rt11ea70f53de35b=Bilzen Youth; rt4e58b535d4b181=Jeunesse Tamines; rte40d02d399cddc=Dendermonde; rtd0e83bb7b55e90=Heusden; rt7f9516e3257f10=Greunsjotters Vossem; rtaacd59c1b9bc90=Wielsbeke; rt25aa600295c2e2=KV Oostende; rt420f86a8421e92=Rhodienne-De Hoek; rt7ad3ed82db14cc=Eendracht Termien; rt555cd37433eb1c=Huldenberg; rt2b5e3cded2d6e3=Rossignol; rte1c9c32de969b1=Herstal; rtd2ba3f2718f2b7=Stockel; rt90405b4ca60ad8=Appelterre-Eichem; rtfd58a48e06169b=Voorwaarts Zwevezele; rt4432780ea36e23=Olympia Wijgmaal; rt791d9834cb1bc6=Ekeren; rtf4198ada370780=Berg en Dal; rtd177ee33326efd=Schoonbeek-Beverst; rt54f138c00192ce=Lokeren; rt6ced1a6cb67569=Eendracht Zele; rt46d9f2afc40dd2=Eendracht Aalst; rte04955a8b0b386=Club Brugge; rtfb338701d9e53d=Condruzien; rtb1fbef17e23c9b=Moreda; rtaa70aa5d78dd31=Zepperen-Brustem; rt67cd2226fa3a4f=Lentezon Beerse; rt9ad7313473480b=Flandria Paal; rtfd1b0a3a5fe3ae=Wellen; rt004f556091ec2f=Havinnes; rta4733fe5c1ebf7=Vlamertinge; rted92fa6eff1d8e=Sporting Charleroi; rt3cce36f177449f=Seraing; rtd075e4cf5d00d2=Woluwe-Zaventem; rtf392593614dee2=Gosselies Sports; rt1f65795ea18a5a=Longlier; rtf89c8f20f8ce4e=Lierse SK; rtb37680d7bfc1ce=Weywertz; rt3979b8d9e574a6=Belœil; rtf34337d37fdd7f=Entité Floreffe; rt81635db6f0eb52=Solières Sport; rt7117071786cbc9=Olsa Brakel; rtf32ed429f8683f=Wallonne Ciney; rt63512a819dfa44=Sparta Petegem; rt2030f9235d78c4=Rochefort; rt3f6f4de8c6f701=Kortemark; rt1175cc61797334=Genk; rt247e4bdef4de78=Leopoldsburg; rt209a67e4bb6104=Tremelo; rte9dc753b80dc64=Tempo Overijse; rt5cc2d705f323e6=Eppegem; rt3608e6126066d9=Blankenberge; rt36b27a5e47948c=Zwaluwen Olmen; rt20dfa54fa4a028=Racing Waregem; rt64808c4861ff1e=Excel Mouscron; rt30e3fdb8732964=Avenir Lembeek; rt9befc44aa8c2ad=Colfontaine; rtd0d2f3fca26228=Dadizele; rt967e5534dbcb2d=Hamoir; rt81aa12148ef6e8=Gestel; rt38caedbdfac690=Loyers; rt1e1823e55baaa4=Sporting Hasselt; rtb3c4239e82b518=Diegem Sport; rt44149559815273=Stade Brainois; rtbda2d3097c8dbd=Vosselaar; rte0c3e56477fa34=Harzé; rtc368c584466073=Svelta Melsele; rtdc0a4a0a8a7ff8=Merelbeke; rt9ffda668522d0b=Aarschot; rt791cd34609d5b9=Racing Mechelen; rt2146b0e2c1066e=Mormont; rtbc79a70544a051=Pâturages; rtb4a0f0676b91ca=Soiron; rt24183eaf4fc8ea=Groen Star Bree-Beek; rtf3c7cf4d16e739=Grand-Leez; rt376ad7a42f1257=Eendracht Mazenzele; rt9943505040e1bc=Sartoise; rt466780ae9e71da=Waterloo; rtfafa8b113979e8=Cercle Brugge; rt3ff7ac47e02270=Sottegem; rt6416f9117f9bd8=Habay-la-Neuve; rt38851438ce07b1=Sint-Eloois-Winkel; rt5ffc75f351a7de=Ganshoren; rt907a3697075828=K. Kontich; rt9fb19f24402460=Aywaille; rtc2f10acacc709d=Berlaar-Heikant; rt68e757f107ce72=Heur Tongeren; rt6606b1ef3f3ef7=Gilly; rt4519a49c8f79d4=Érezée-Amonines; rt3a2fc7ee5312c8=Kortrijk; rt1cad50821218e0=VK Berchem; rt69618549d572ad=Opitter; rt1f2bfc36d13eb3=Eendracht Wervik; rte2b22ff72ddc7c=Tildonk; rt12e40cfa3d0c8c=Boorsem Sport; rtefd2029a3b8373=Sint-Lenaarts; rt81883e7d440b8b=Rhisnes; rtedf4feb01f6d52=SK Sint-Niklaas; rt3a2e0d638db3c2=Huvo Jeuk; rt1843f4e9964ce8=Harelbeke; rt92d4a658e66bb4=UCE Liège; rtb57b213d2f1efb=VC Herentals; rtc099b578d16947=RAEC Mons; rt00e9a6425faf95=Aische; rt3d6b1c50a81649=Nothomb-Post; rtb6696d7c9f519f=Hoogstraten; rt54e1ce81c53e9b=Mandel United; rt3a09504664d050='s Gravenwezel-Schilde; rt1f672ec5908eeb=Witgoor Sport; rt7812c6a96f71d1=Chevetogne; rt40a29317185c4e=Ternesse; rte4911b6781d952=Lendelede Sport; rt0d8f77628b8027=Cappellen; rtd146d9630dc99e=Chastre; rt19cd264ae9adcc=Union Lasne-Ohain; rtbef3d4be4b2b7a=Hoeilaart; rt0c82dbfba3a99c=Oostnieuwkerke; rt4bc1f5c2b5f885=Adegem; rtc837c48fadea84=Berlare; rt004eae7e261474=Rauw Sport; rt48671923997ec9=Hechtel; rt2081f288f21b1e=Nismes; rt273efbc4b97151=Stockay-Warfusée; rt97521798df2fd8=Wolvertem Merchtem; rt54a4e1e04da50c=Rupel Boom; rtf7b94ca716f66f=Le Roeulx; rt29151cb285a86f=Olympic Charleroi; rt696ccd003d60fd=La Louvière Centre; rt87916ea09e05d4=Sint-Dymphna; rtbb6f7b85f4eea6=Londerzeel; rt1e4ea9f8e8b7fd=RFC Wetteren; rtde4e8c7112af37=Lokeren Oost-Vlaanderen; rt7c97237d4f8d55=KSV Roeselare; rt4cb1585ac0034f=Etoile Vervietoise; rt474e0fd6bd52bf=Bocholt; rtf2c6923bc6caa3=Rapid Leest; rt35d9a8ed3ab2aa=Bottelare; rt8babd0a95baeb5=Ronse; rte148555c23cf8c=Helson Helchteren; rtdb37c6298f5dc3=Rebecq; rtde343c5c3d1f2e=Knokke; rt82a7544f8124ff=Lauwe; rta2c8e6d5d9e483=Büllingen; rt2181f5fee3344a=Zelzate; rt78803430ff7c67=Richelle United; rt2555e4cfa9d5e7=Bodegem Kapelle United; rtedf04a15ccca5f=Westhoek; rt14eb70dcc45e20=Grimbergen; rtb96bc4814c295b=Wavre Sports; rt169385973a5bb4=Schriek; rt44a8522f017f26=Wezel Sport; rt7075023149e789=Oudenaarde; rtdbfed944f414d6=VW Hamme; rt7d75f0ca0a927e=Retie; rtb1a78692df8bee=Trooz; rtf40291bc300769=Pepingen-Halle; rt58b7c71919d4fd=Franchimont; rta7ab775304f7b6=Tubize-Braine; rt65d532f5a65ba5=Diest; rtb1f3cc48611e47=Templeuve; rtd21e4931882adc=Latem; rt55025a524258f4=De Kempen; rt3cfa2ce59e8235=Pontisse Cité; rt95860c8cdb6fd8=City Pirates Antwerpen; rt734052ee8dc73f=Entité Manageoise; rtcffa95356e5446=Braine; rt251d76c6558a76=Beveren; rt08e51d1000f5cb=KRC Gent; rtd7e0678f96d965=Antwerp; rtd1767bf724a220=BX Brussels; rta085a82e7ca7a4=Bregel Sport; rt6cf2074786cc43=Mariekerke Branst; rtb1a281a0854005=Pesche; rt701a6ab4971517=RWDM Brussels; rt4f6da5e0dee4f6=Tongeren; rt4667503c9b7f19=FSI Berchem; rt9da6bf592b765a=Belisia Bilzen; rt145ba74724a5e0='s Herenelderen; rtf77b1b5c5e34ed=Saint-Louis-Saint-Léger; rt821c3c4bd23165=Waremme; rtaa75e7cf809c0b=Verlaine; rt1acc57aace2901=MD Halen; rtd924281560b771=Sassport Boezinge; rta87d68f179c813=Oostduinkerke; rt147cbbde646d0f=Bressoux; rt281ae774452880=Villers-La-Ville; rt68894e9720a76c=Ploegsteert-Bizet; rt421fd4ba8fb84b=Veltem; rtad95406f49e205=Péruwelz; rt6753cac112a40f=Dessel Sport; rtadd7a0d5a54b97=HO Kalken; rt9cc44cc14857c2=Beringen; rt0b3f333a3455fc=Torhout; rt27f19f28853f7e=Houtvenne; rt19c54b1bf0737b=RW Walhain; rt924353457ac3f4=US Givry; rtb5422d13a4d4ca=Hamont; rt143d5c41749d15=Melsbroek; rtde884835c21c3b=Berchem Sport; rt2ce5c45d40d201=Ethe Belmont; rt98508b3af96477=KFC Turnhout; rt73b17848f32ed5=Sprimont II; rt0acf2a327a888a=Union Hutoise; rt247468574ae4ce=Herk; rt67d649366086bc=Meux; rtce2a6f3fe51b8d=Couvin-Mariembourg; rt0c7be156a066e2=Nijlen; rt98beda4888e07f=Anderlues; rta22f4342376bf2=Jette; rtb5195839330b9c=Wépion; rt633aa11f481df6=Deerlijk Sport; rt8b4e6de0cb0a14=Rapid Symphorinois; rte76f2e9edfcd90=FC Tilleur; rte918dcff021003=Standard Liège; rtb6ff9a478c182e=Oppagne-Wéris; rt789b530df61a18=Ostiches; rt0b81217c3077e3=Lille United; rt5b26f8c2b9b356=Geel; rt0a112e0bb724b7=Temse; rt7ffb899f4006ea=FC Lebbeke; rt501dc45abe3622=Stade Everois; rt6ac8bb0f08d6cb=Pittem; rt0ce286dadfd143=Onhaye; rt0ca3401589fee5=Huccorgne; rtba95878910b4c9=Meulebeke; rt58c69f92ee0f45=Lochristi; rt8136132bf150a9=Mechelen; rt4f12dd659f6547=Étincelle Maurage; rt1877168a7638e6=Jong Zulte; rt5a54c19c810636=Acren-Lessines
Belgium,Belgian Pro League,1994,First Division A,RFC Sérésien; KFC Germinal Ekeren,rt3cce36f177449f=Seraing; rt37b4f387771ffe=RFC Liégeois; rt014a26c8f2c3c5=Lierse
Belgium,Belgian Pro League,1995,First Division A,KFC Germinal Ekeren,rt37b4f387771ffe=RFC Liégeois; rt014a26c8f2c3c5=Lierse
Belgium,Belgian Pro League,1996,First Division A,KFC Germinal Ekeren,rt014a26c8f2c3c5=Lierse
Belgium,Belgian Pro League,1997,First Division A,KFC Germinal Ekeren,rt014a26c8f2c3c5=Lierse
Belgium,Belgian Pro League,1998,First Division A,KFC Germinal Ekeren,rt014a26c8f2c3c5=Lierse
Belgium,Belgian Pro League,1999,First Division A,KFC Germinal Ekeren,rt014a26c8f2c3c5=Lierse
Belgium,Belgian Second Division,2000,Challenger Pro League,KSV Ingelmunster; R. Capellen FC; K.Maasland Maasmechelen,rtfaa46966a13323=Patro Eisden; rt0d8f77628b8027=Cappellen; rt7c97237d4f8d55=KSV Roeselare
Belgium,Belgian Second Division,2001,Challenger Pro League,KSV Ingelmunster; K.Maasland Maasmechelen,rt365c29d5db1ce0=Hekelgem; rt08d9d53ef24b75=FC Brussels; rtfaa46966a13323=Patro Eisden; rt2ee6e091e0a7c1=Mons; rt7c97237d4f8d55=KSV Roeselare; rtd2974e706ba064=Beringen-Heusden-Zolder
Belgium,Belgian Second Division,2002,Challenger Pro League,KSV Ingelmunster,rt08d9d53ef24b75=FC Brussels; rt2ee6e091e0a7c1=Mons; rt7c97237d4f8d55=KSV Roeselare; rtd2974e706ba064=Beringen-Heusden-Zolder
Belgium,Belgian Second Division,2004,Challenger Pro League,Sporting West,rt7c97237d4f8d55=KSV Roeselare; rt1843f4e9964ce8=Harelbeke
Belgium,Belgian Second Division,2012,Challenger Pro League,Red Star Waasland; White Star Woluwe,rt251d76c6558a76=Beveren; rt08d9d53ef24b75=FC Brussels; rt7c97237d4f8d55=KSV Roeselare; rt16a25e39bb998d=White Star Bruxelles; rt1e29f28f520288=Heist
Brazil,Brasileiro Série B,2011,Serie B,Americana,rt0bb56f850fb876=Guaratinguetá; rt785c40a781a82a=RB Bragantino
