country,league,reep_competition_id,reep_competition_label,seasons_agreeing,seasons_total
Albania,Albanian Superliga,rl53f2e82c7f925c,Superliga,20,20
Andorra,Andorra Primera Divisió,rl807560b4595b9a,1a Divisió,20,20
Argentina,Argentina Apertura,rl372b9cd73bb98b,Liga Profesional Argentina,12,12
Argentina,Argentina Clausura,rl372b9cd73bb98b,Liga Profesional Argentina,13,13
Argentina,Argentina Torneo Final,rl372b9cd73bb98b,Liga Profesional Argentina,2,2
Argentina,Argentina Torneo Inicial,rl372b9cd73bb98b,Liga Profesional Argentina,2,2
Argentina,Argentina Torneo de Transición,rl372b9cd73bb98b,Liga Profesional Argentina,1,1
Argentina,Argentine Apertura,rl372b9cd73bb98b,Liga Profesional Argentina,2,2
Argentina,Argentine Clausura,rl372b9cd73bb98b,Liga Profesional Argentina,2,2
Argentina,Argentine Primera División,rl372b9cd73bb98b,Liga Profesional Argentina,9,10
Argentina,Primera B Nacional,rl7f606f84534961,Primera Nacional,7,7
Argentina,Primera B Nacional Argentina,rl7f606f84534961,Primera Nacional,13,13
Argentina,Primera B Nacional Primera Fase,rl7f606f84534961,Primera Nacional,1,1
Argentina,Primera B Nacional Segunda Fase,rl7f606f84534961,Primera Nacional,1,1
Armenia,Armenian Premier,rl9477e10fe3647b,Premier League,17,20
Australia,A-League,rldf2c996c718abe,A-League Men,21,21
Austria,Austrian Bundesliga,rl1177b34f061ea4,Bundesliga,33,33
Austria,Austrian First League,rle31fcec1075bb3,2. Liga,20,20
Azerbaijan,Azerbaijan Premier,rl279929db175991,Premyer Liqa,19,19
Azerbaijan,Azerbaijan Top League,rl279929db175991,Premyer Liqa,1,1
Belarus,Belarusian Premier,rla4d5b0db7c673a,Premier League,30,30
Belgium,Belgian Division I,rlaa9622ae7c45dd,First Division A,33,33
Belgium,Belgian First Division B,rl62f18452761d3d,Challenger Pro League,7,7
Belgium,Belgian First Division B Closing,rl62f18452761d3d,Challenger Pro League,3,3
Belgium,Belgian First Division B Opening,rlf3c1bfc5a610ca,Cup,3,3
Belgium,Belgian Pro League,rlaa9622ae7c45dd,First Division A,33,33
Belgium,Belgian Second Division,rl62f18452761d3d,Challenger Pro League,16,17
Bosnia-Herzegovina,Premier League of B&H,rl83543a852b2f19,Premijer Liga,24,24
Brazil,Brasileiro Série A,rl879248aa69a02f,Serie A,28,28
Brazil,Brasileiro Série B,rl010ddc1c0cca91,Serie B,21,21
Brazil,Brasileiro Série C,rlf864baa90d5808,Copa do Brasil,9,14
Brazil,Brasileiro Série D,rlf864baa90d5808,Copa do Brasil,5,6
Bulgaria,Bulgarian A PFG,rl5975ff935007a3,First League,27,27
China,Chinese Super League,rl8cf7eb31059d86,Chinese Super League,21,21
Croatia,Prva HNL,rla6c65b44ed5109,HNL,22,22
Cyprus,Cypriot First Division,rle63c2e8ecdc29b,1. Division,26,26
Czech Republic,Czech 2. Liga,rl740fc61a1448bf,FNL,20,20
Czech Republic,Czech First League,rl8a0f700dae35f3,Czech Liga,33,33
Denmark,Danish First Division,rlc36b4bc6340b4d,1. Division,20,20
Denmark,Danish Superliga,rlc5dbec216a79cf,Superliga,33,33
Egypt,Egyptian Premier League,rl95aed12bc56ed2,Premier League,20,20
England,Championship,rl7fb1e4fdde0a52,Championship,22,22
England,Conference National,rlef179778c4239a,National League,5,11
England,First Division,rlfb6b23cbacdaa1,First Division (1888–1992),89,100
England,Fourth Division,rl1b7a779f152c7f,Fourth Division (1958–1992),1,1
England,League One,rleeb2a0d9545661,League One,16,22
England,League Two,rlc8c4c634aaf487,League Two,16,22
England,National League,rlef179778c4239a,National League,11,11
England,Premier League,rlceee8c6f01551d,Premier League,34,34
England,Second Division,rlc5ac0e4a732bf1,Second Division (1992–2004),9,11
England,Third Division,rlb610a0c21b7738,Third Division (1992–2004),11,13
Estonia,Meistriliiga,rla82f7af11a457a,Premium liiga,23,23
Faroe Islands,Faroe Islands Premier League,rl6cee675c33339c,Meistaradeildin,21,21
Finland,Veikkausliiga,rl58fd6839b3c0dc,Veikkausliiga,32,33
France,Championnat National,rl957cc31ed481f7,National 1,25,26
France,Division 1,rld42008a5833064,Ligue 1,8,8
France,Division 2,rl2b54955f540449,Ligue 2,9,9
France,Ligue 1,rld42008a5833064,Ligue 1,24,24
France,Ligue 2,rl2b54955f540449,Ligue 2,24,24
Georgia,Umaghlesi Liga,rlbae70feb33dbf3,Erovnuli Liga,33,33
Germany,2.Bundesliga,rlbdf24bc47e7cfc,2. Bundesliga,33,33
Germany,3. Liga,rlabdd710849714b,3. Liga,9,12
Germany,Bundesliga,rl38800203b4a843,Bundesliga,46,46
Gibraltar,Gibraltar Premier Division,rl4942c6412aca4e,League Cup,1,3
Greece,Alpha Ethniki,rl475e76d3e1df7a,Super League 1,12,12
Greece,Beta Ethniki,rl4e04268f83d92e,Cup,5,5
Greece,Greek Football League,rl4e04268f83d92e,Cup,8,8
Greece,Greek Super League,rl475e76d3e1df7a,Super League 1,20,20
Greece,Greek Super League 2,rl229de8fa5ca2a9,Super League 2,7,7
Hungary,NB I,rl6d53a530456ad1,NB I,30,30
Iceland,Úrvalsdeild,rlb3da4992400bdb,Besta deild,33,33
India,Indian Super League,rl6d7a16bf039b31,Indian Super League,12,12
Iran,Persian Gulf Cup,rl6908c6dbba965c,Persian Gulf Pro League,7,7
Iran,Persian Gulf Pro League,rl6908c6dbba965c,Persian Gulf Pro League,13,13
Ireland,League of Ireland,rle9ee47564e30cf,Premier Division,30,30
Israel,Israeli Premier,rle40783a926b507,Ligat Ha'al,27,27
Israel,Liga Leumit,rlaeb7621c8a45db,Liga Leumit,20,24
Italy,Lega Pro Group A,rl4e4c62af65c036,Serie C,2,3
Italy,Lega Pro Group B,rld7cc363ec532da,Coppa Italia Serie C,3,3
Italy,Lega Pro Group C,rld7cc363ec532da,Coppa Italia Serie C,2,3
Italy,Lega Pro Prima Divisione A,rl4e4c62af65c036,Serie C,6,6
Italy,Lega Pro Prima Divisione B,rl4e4c62af65c036,Serie C,6,6
Italy,Serie A,rl0bdfb18f78bfef,Serie A,34,34
Italy,Serie B,rl1a4493c7c271de,Serie B,29,29
Italy,Serie C Group A,rl4e4c62af65c036,Serie C,8,9
Italy,Serie C Group B,rl4e4c62af65c036,Serie C,8,9
Italy,Serie C Group C,rl4e4c62af65c036,Serie C,8,9
